method,m,n,candidate_count,c,target_p1_power_2m,correlation_length,n_over_correlation_length,gram_bytes,estimated_peak_bytes,trace_lower_bound,srm,q_l1,lambda_min,lambda_max,numerical_rank,condition_number_on_support,helstrom_upper,srm_minus_target,runtime_seconds
exact_dense_eigh,1,10,55,0.9,0.16039300757163244,9.491221581029905,1.053605156578263,24200,96800,0.2285910863560254,0.22959703515486893,0.05695636516640826,0.0031052917465245007,35.38433197926362,55,11394.849459432085,0.5673944912628464,0.06920402758323649,0.000654800096526742
exact_dense_eigh,1,20,210,0.9,0.16039300757163244,9.491221581029905,2.107210313156526,352800,1411200,0.18797850985622314,0.18891600660031962,0.05470640422830545,0.002852756590886141,94.92377585033822,210,33274.40418632155,0.7209766244098057,0.028522999028687185,0.005680999951437116
exact_dense_eigh,1,30,465,0.9,0.16039300757163244,9.491221581029905,3.1608154697347883,1729800,6919200,0.17639363508018333,0.1772147525806125,0.048805676300303996,0.0028070034879062017,154.5345986438656,465,55053.22644224284,0.7831064936953963,0.016821745008980066,0.038870600052177906
exact_dense_eigh,1,40,820,0.9,0.16039300757163244,9.491221581029905,4.214420626313052,5379200,21516800,0.17120973684939073,0.17193006290260066,0.043148405962670985,0.0027909396884357508,208.34258814273605,820,74649.62034328541,0.7940171648434935,0.011537055330968216,0.1875008000060916
exact_dense_eigh,1,50,1275,0.9,0.16039300757163244,9.491221581029905,5.268025782891314,13005000,52020000,0.16835781961664625,0.1689973947413295,0.03819195360667818,0.0027834739470428615,256.50653215664903,1275,92153.37992624624,0.7800333239689656,0.008604387169697053,0.5719632001128048
exact_dense_eigh,1,10,55,0.95,0.07026455698781191,19.495725746223673,0.5129329438755058,24200,96800,0.13419881189717,0.13484266453756336,0.05883482298610394,0.0007377161042226835,44.0688220607227,55,59736.83075165768,0.5247699724857344,0.06457810754975145,0.0006532999686896801
exact_dense_eigh,1,20,210,0.95,0.07026455698781191,19.495725746223673,1.0258658877510116,352800,1411200,0.09642879946506411,0.09710516448593762,0.0657904992193841,0.00067718252046523,139.251980920693,210,205634.34039175397,0.8727900891435583,0.02684060749812571,0.007146999938413501
exact_dense_eigh,1,30,465,0.95,0.07026455698781191,19.495725746223673,1.5387988316265173,1729800,6919200,0.0856085634220028,0.08624345366558679,0.06369482891819234,0.0006662599327315425,258.4475386238725,465,387907.97093903786,1.0,0.015978896677774884,0.04828349989838898
exact_dense_eigh,1,40,820,0.95,0.07026455698781191,19.495725746223673,2.0517317755020232,5379200,21516800,0.08072144048258893,0.08130147048229092,0.05966278514682727,0.0006624296974950679,386.27240111888443,820,583114.559295193,1.0,0.011036913494479009,0.166402000002563
exact_dense_eigh,1,50,1275,0.95,0.07026455698781191,19.495725746223673,2.5646647193775287,13005000,52020000,0.07801281523454313,0.07854101032612597,0.055308666557204525,0.0006606506475351793,514.3573881402361,1275,778561.8466571576,1.0,0.00827645333831406,0.5887837000191212
exact_dense_eigh,1,10,55,0.99,0.008257056883771326,99.49916247342207,0.1005033585350145,24200,96800,0.05164655162764451,0.0517784653767665,0.042154328374924416,2.8351442498419003e-05,52.607631281545856,55,1855553.9558341512,0.35739660963276226,0.04352140849299518,0.0006178000476211309
exact_dense_eigh,1,20,210,0.99,0.008257056883771326,99.49916247342207,0.201006717070029,352800,1411200,0.02549887518557107,0.025640438357315238,0.05878647869364698,2.6011440763476148e-05,193.00773045780113,210,7420109.182449136,0.84220309349384,0.017383381473543912,0.005529699847102165
exact_dense_eigh,1,30,465,0.99,0.008257056883771326,99.49916247342207,0.30151007560504356,1729800,6919200,0.01848808671555518,0.018629303509610583,0.06651568550288464,2.559048421829177e-05,410.96377065484944,465,16059241.675509114,1.0,0.010372246625839257,0.038761200150474906
exact_dense_eigh,1,40,820,0.99,0.008257056883771326,99.49916247342207,0.402013434140058,5379200,21516800,0.015355279652165325,0.015492343334527129,0.0701519001848891,2.54430010030585e-05,697.2538810904555,820,27404545.59612047,1.0,0.007235286450755803,0.17174569983035326
exact_dense_eigh,1,50,1275,0.99,0.008257056883771326,99.49916247342207,0.5025167926750725,13005000,52020000,0.013608888762072816,0.013740680207922676,0.0716585510076429,2.5374529761871708e-05,1043.5789403336742,1275,41127025.806081235,1.0,0.00548362332415135,0.5810759998857975
